"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
726,"Ballina",1,"Mark My Word",5,7,"J Byrne","Bruce Hill",4.00,3.10,3.20,0.00,1.45,7.26,4,NULL,"2017-09-07 17:20:06","2017-09-07 17:20:06"
727,"Seymour",1,"Choisborder",2,7,"J Allen","D K Weir",5.50,3.60,4.20,0.00,1.55,9.60,8,2,"2017-09-07 17:20:06","2017-09-07 17:20:06"
728,"Ballina",2,"Allena",5,3,"Jackson Morris","S Strazzieri",7.00,4.80,5.00,0.00,1.60,6.55,1,3,"2017-09-07 17:20:06","2017-09-07 17:20:06"
729,"Seymour",2,"Berkshire Lady",11,13,"T Marshall","D T O'brien",51.00,11.00,15.00,0.00,3.80,7.13,4,NULL,"2017-09-07 17:20:07","2017-09-07 17:20:07"
730,"Gosford",2,"We're Smokin",6,1,"K Holding","J N Englebrecht",21.00,5.50,6.50,0.00,0.00,13.42,2,3,"2017-09-07 17:20:07","2017-09-07 17:20:07"
731,"Rockhampton",1,"Miss Rich",2,5,"A Allen","Alan Joseph Jones",7.00,4.60,2.80,0.00,1.60,7.45,0,2,"2017-09-07 17:20:07","2017-09-07 17:20:07"
732,"Ballina",3,"Siroccan Lad",3,1,"M Mcguren","W R Pholi",8.50,4.80,4.40,4.46,1.70,9.07,3,1,"2017-09-07 17:20:08","2017-09-07 17:20:08"
733,"Gosford",3,"Oxford Bella",8,3,"T Clark","Ms K Waugh",7.50,3.00,3.20,0.00,1.40,20.00,0,3,"2017-09-07 17:20:08","2017-09-07 17:20:08"
734,"Seymour",4,"Mint On Moseley",4,13,"J Childs","G A Osborne",17.00,6.50,6.00,0.00,2.10,9.50,3,2,"2017-09-07 17:20:08","2017-09-07 17:20:08"
735,"Ballina",4,"I'm A Jet",1,7,"K Matheson","Mick O'neill",5.50,3.80,4.60,5.09,1.75,8.13,5,1,"2017-09-07 17:20:09","2017-09-07 17:20:09"
736,"Seymour",5,"Jubilee Blue",10,7,"B Mertens","J D Sadler",10.00,6.00,4.40,0.00,1.75,6.67,1,NULL,"2017-09-07 17:20:09","2017-09-07 17:20:09"
737,"Ballina",5,"Rosador",11,3,"G Colless","J Dann",6.50,4.60,3.20,0.00,1.45,6.35,4,NULL,"2017-09-07 17:20:09","2017-09-07 17:20:09"
738,"Gosford",5,"State Of Play",8,9,"J Parr","G A Ryan",6.50,4.60,3.60,0.00,1.45,6.35,0,2,"2017-09-07 17:20:09","2017-09-07 17:20:09"
739,"Rockhampton",4,"Bold 'N' Sassy",8,3,"C Bayliss","G K Taylor",9.00,5.50,4.80,0.00,1.35,7.07,1,NULL,"2017-09-07 17:20:10","2017-09-07 17:20:10"
740,"Ballina",6,"Prince Of The Turf",12,4,"L Rolls","J D Shelton",13.00,7.00,8.00,8.14,2.30,6.59,1,1,"2017-09-07 17:20:10","2017-09-07 17:20:10"
741,"Seymour",7,"Black Sail",7,2,"L Nolen","C Maher",4.60,3.30,2.20,0.00,1.15,8.56,1,4,"2017-09-07 17:20:10","2017-09-07 17:20:10"
742,"Rockhampton",5,"Poetic Show",7,7,"L Tilley","T Button",5.00,3.80,3.80,0.00,1.50,6.32,0,2,"2017-09-07 17:20:10","2017-09-07 17:20:10"
743,"Ballina",7,"Lordag",2,6,"J Orman","R L Heathcote",8.50,5.50,3.90,0.00,1.70,6.42,3,2,"2017-09-07 17:20:10","2017-09-07 17:20:10"
744,"Gosford",7,"Tickling",6,1,"T Angland","Ms K Waugh",8.50,5.00,6.50,0.00,1.70,8.24,1,NULL,"2017-09-07 17:20:11","2017-09-07 17:20:11"
745,"Rockhampton",6,"Elle The Model",5,1,"A Allen","Allan A Clark",4.00,3.00,3.60,0.00,1.45,8.33,1,NULL,"2017-09-07 17:20:11","2017-09-07 17:20:11"
746,"Ballina",8,"Whodunnit",9,4,"Jackson Morris","L G Ross",18.00,7.00,9.00,0.00,2.40,8.73,2,3,"2017-09-07 17:20:11","2017-09-07 17:20:11"
747,"Northam",4,"Scarlet Image",11,3,"W Pike","G & A Williams",5.50,4.00,3.60,0.00,1.25,6.82,0,4,"2017-09-07 17:20:11","2017-09-07 17:20:11"
748,"Rockhampton",7,"Dakota Rocks",1,13,"E Cass","W H Trimble",26.00,10.00,13.00,15.49,4.00,6.15,2,1,"2017-09-07 17:20:11","2017-09-07 17:20:11"
749,"Northam",5,"Mycroft",1,2,"R Hill","S J Miller",5.50,3.00,2.40,2.36,1.22,15.15,0,1,"2017-09-07 17:20:12","2017-09-07 17:20:12"
750,"Northam",6,"First Affair",1,1,"F Kersley","A G Durrant",4.00,3.20,3.40,3.83,1.40,6.25,0,1,"2017-09-07 17:20:12","2017-09-07 17:20:12"
1018,"Tuncurry",1,"Rubel",9,5,"P King","Angela Davies",4.60,3.60,2.50,0.00,1.28,6.04,3,3,"2017-09-08 05:40:03","2017-09-08 05:40:03"
1085,"Canberra",1,"Fire And Flood",7,4,"T Jeffries","Fred Skerbic",18.00,8.50,11.00,0.00,4.00,6.21,1,4,"2017-09-08 06:00:04","2017-09-08 06:00:04"
1138,"Tuncurry",2,"Overreactive",9,12,"C Reith","Brad Widdup",4.20,3.00,2.80,0.00,1.18,9.52,4,2,"2017-09-08 06:15:04","2017-09-08 06:15:04"
1175,"Geelong Synthetic",1,"Circomo",2,12,"B Mertens","Anthony Freedman",6.50,4.60,3.80,0.00,1.40,6.35,3,2,"2017-09-08 06:25:04","2017-09-08 06:25:04"
1211,"Canberra",2,"Boys Day Out",3,1,"K Rayner","G P Vella",7.50,5.00,7.50,0.00,3.00,6.67,1,4,"2017-09-08 06:35:03","2017-09-08 06:35:03"
1268,"Tuncurry",3,"Loqueteux",12,2,"R King","J A Sylvester",7.50,4.60,7.00,0.00,2.50,8.41,4,NULL,"2017-09-08 06:50:03","2017-09-08 06:50:03"
1288,"Geelong Synthetic",2,"Sea Spring",7,6,"S Baster","L & T Corstens",20.00,9.00,11.00,0.00,2.80,6.11,3,4,"2017-09-08 06:55:03","2017-09-08 06:55:03"
1307,"Beaudesert",2,"Elite Force",4,8,"S Lacy","G Cooling",4.00,3.20,2.30,2.36,1.26,6.25,3,1,"2017-09-08 07:00:03","2017-09-08 07:00:03"
